material,geometry,model,qe_pair,ml_pair,gamma_overlap_squared,q_overlap_squared,gamma_subspace_dimension,q_subspace_dimension,comparison_level,raw_qe_status,qe_abs_phi122,qe_phi1122,ml_abs_phi122,ml_phi1122
wse2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.999806264455308,0.9986715709147111,1,2,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,31.212506975446317,2.4438974808680403
wse2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.999806264455308,0.9998515731872741,1,2,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,27.982875279017392,1.5321069834181855
wse2,shared_dft,prophet,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.999806264455308,0.9995465562539123,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,22.48535156250017,2.047791772959245
wse2,shared_dft,prophet,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.999806264455308,0.9976404479056213,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,21.19245643221083,,21.149553571429088,1.1957908163278685
wse2,shared_dft,prophet,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.999806264455308,0.9990586977310205,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,19.853000984712573,,20.779854910714022,1.2256855867346927
wse2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,Gamma_p0_m8__M_q_0.500_0.000_0.000_m9,0.9998448216388285,0.9998363874631849,1,1,directional_reference,recovered_real_coordinate_fit,30.581270840938974,1.9043965254678332,31.134905133929042,2.4762834821425717
wse2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,Gamma_p0_m8__M_q_0.500_0.000_0.000_m8,0.9998448216388285,0.9995306932195877,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,27.767677293480986,,27.82505580357213,1.5495455994901097
wse2,shared_dft,equiformer-v3,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,Gamma_p0_m8__M_q_0.500_0.000_0.000_m7,0.9998448216388285,0.9985835611231914,1,1,directional_reference,archived_third_order_only_raw_grid_unavailable,22.478603522962032,,22.43913922991096,2.065230389031031
wse2,shared_dft,equiformer-v3,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,Gamma_p0_m8__K_q_0.333_0.333_0.000_m9,0.9998448216388285,0.9976907404465195,1,3,directional_reference,archived_third_order_only_raw_grid_unavailable,21.19245643221083,,21.16176060267968,1.3303172831631849
wse2,shared_dft,equiformer-v3,Gamma_p0_m8__line_q_0.333_0.667_0.000_m8,Gamma_p0_m8__K_q_0.333_0.667_0.000_m8,0.9998448216388285,0.9997985207121693,1,2,directional_reference,archived_third_order_only_raw_grid_unavailable,19.853000984712573,,20.771135602679816,1.3502471301025665
