material,model,geometry,qx,qy,qe_mode,ml_mode,qe_frequency_thz,ml_frequency_thz,frequency_difference_thz,single_overlap_squared,qe_subspace_dimension,subspace_minimum_overlap_squared,gamma_point
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,8,8,11.767789,11.029329374431324,-0.7384596255686766,0.9976862338927905,1,0.997686233892791,False
mos2,tece,model_relaxed,0.16666666666666666,0.3333333333333333,9,9,12.328262,11.644003526486795,-0.6842584735132053,0.9967587376320346,1,0.9967587376320346,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,1,1,4.873539,4.757303804548859,-0.11623519545114114,0.9995839852017925,1,0.9995839852017925,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,2,2,5.368917,5.114939215690894,-0.25397778430910556,0.9992444216586989,1,0.9992444216586986,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,3,3,6.649682,6.377122125134554,-0.2725598748654461,0.9979543629264176,1,0.9979543629264176,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,4,4,9.645211,9.108237600524188,-0.5369733994758121,0.9976244560297929,1,0.9976244560297931,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,5,5,10.130781,9.664713963435853,-0.46606703656414794,0.9991820413220736,1,0.9991820413220738,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,6,6,10.499809,10.048398197635558,-0.45141080236444253,0.9965567760719098,1,0.9965567760719098,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,7,7,11.498344,10.704624582742907,-0.7937194172570923,0.9941225551748116,1,0.9941225551748116,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,8,8,11.767789,11.029343317289223,-0.7384456827107773,0.9976852055641596,1,0.9976852055641598,False
mos2,tece,model_relaxed,0.16666666666666666,0.5,9,9,12.328262,11.644028473230609,-0.6842335267693915,0.9967597197439971,1,0.9967597197439971,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,1,1,3.114433,3.0785660227971983,-0.03586697720280174,0.9997540348227308,1,0.9997540348227306,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,2,2,4.285323,4.053536657282656,-0.23178634271734389,0.9995891337300513,1,0.9995891337300513,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,3,3,5.673258,5.405292407031383,-0.26796559296861666,0.999274941244504,1,0.9992749412445038,False
mos2,tece,model_relaxed,0.16666666666666666,0.6666666666666666,4,4,9.21832,8.703228145159743,-0.5150918548402572,0.9998373841317509,1,0.9998373841317509,False
